t v
3.01 0.9757
3.02 0.9773
3.03 1.0195
3.04 1.0630
3.05 1.0722
3.06 1.1110
3.07 1.1346
3.08 1.1581
3.09 1.1825
3.10 1.2048
3.11 1.2413
3.12 1.2838
3.13 1.2873
3.14 1.3110
3.15 1.3265
3.16 1.3304
3.17 1.3509
3.18 1.3757
3.19 1.3732
3.20 1.4053
3.21 1.4363
3.22 1.4721
3.23 1.4883
3.24 1.5128
3.25 1.5361
3.26 1.5622
3.27 1.5483
3.28 1.5380
3.29 1.5701
3.30 1.5767
3.31 1.5779
3.32 1.5794
3.33 1.5844
3.34 1.5874
3.35 1.6088
3.36 1.6251
3.37 1.6214
3.38 1.6310
3.39 1.6468
3.40 1.6635
3.41 1.6624
3.42 1.6738
3.43 1.6991
3.44 1.7280
3.45 1.7501
3.46 1.7754
3.47 1.7947
3.48 1.7904
3.49 1.8021
3.50 1.8108
3.51 1.7968
3.52 1.7856
3.53 1.7962
3.54 1.7961
3.55 1.8029
3.56 1.8188
3.57 1.8183
3.58 1.8186
3.59 1.8253
3.60 1.8436
3.61 1.8464
3.62 1.8499
3.63 1.8325
3.64 1.8556
3.65 1.8407
3.66 1.8677
3.67 1.8937
3.68 1.8824
3.69 1.8764
3.70 1.8761
3.71 1.8859
3.72 1.9081
3.73 1.8898
3.74 1.9016
3.75 1.9231
3.76 1.9208
3.77 1.9216
3.78 1.9135
3.79 1.9183
3.80 1.9389
3.81 1.9469
3.82 1.9541
3.83 1.9347
3.84 1.9284
3.85 1.9287
3.86 1.9364
3.87 1.9166
3.88 1.9428
3.89 1.9340
3.90 1.9220
3.91 1.9192
3.92 1.9123
3.93 1.9114
3.94 1.9221
3.95 1.9022
3.96 1.8822
3.97 1.8752
3.98 1.8876
3.99 1.8961
4.00 1.9208
